index,Name,Gender,Document_Type,Document_Number,Address,New_DOB,Name_clean,Address_clean,Document_Number_clean,Document_valid,Combined_Text,Record_ID,Group_ID,Name_Length,Address_Length,Name_Freq,Address_Freq,Group_Size,Name_Encoded,Address_Encoded,Fraud_Label,Fraud_Probability,Fraud_Prediction,Risk_Level,Image_File,OCR_Text,OCR_Similarity,OCR_Match,Duplicate_Image_Flag,Final_Risk_Score,Final_Risk_Level,Gender_clean,Document_type_clean,DOB,Document_format,Combined_Data,Duplicate_Group_ID,Fraud_Risk_Score,Fraud_Risk_Level
707,Zeeshan Sabharwal,Male,Passport,K2448716,"31/432, Barad Street, Bardhaman-657036",15-05-2001,zeeshan sabharwal,31432 barad street bardhaman657036,K2448716,True,zeeshan sabharwal 31 432 barad street bardhaman 657036,707,708,17,36,1,1,1,2340,494,0,0.24,0,Low,img_7.jpg,zeeshan sabharwal,1.0,Match,Yes,0.344,Low,male,passport,Unknown,True,zeeshan sabharwal male Unknown passport K2448716 31432 barad street bardhaman657036,-1,0.0,Low
708,Anika Ray,Other,PAN,WRCPR5718Z,"H.No. 916, Sachdev Street, Rohtak 256196",22-02-1971,anika ray,hno 916 sachdev street rohtak 256196,WRCPR5718Z,True,anika ray h no 916 sachdev street rohtak 256196,708,709,9,37,1,1,1,253,2309,0,0.01,0,Low,img_8.jpg,anika ray,1.0,Match,Yes,0.206,Low,other,pan,Unknown,True,anika ray other Unknown pan WRCPR5718Z hno 916 sachdev street rohtak 256196,-1,0.0,Low
709,Kaira Raval,Female,Aadhaar,2208 1791 5934,"H.No. 804, Bakshi Chowk, Fatehpur-710272",12-03-1977,kaira raval,hno 804 bakshi chowk fatehpur710272,2.20818E+11,True,kaira raval h no 804 bakshi chowk fatehpur 710272,709,710,11,37,1,1,1,1062,2222,0,0.0,0,Low,img_9.jpg,kaira raval,1.0,Match,Yes,0.2,Low,female,aadhaar,Unknown,False,kaira raval female Unknown aadhaar 2208 1791 5934 hno 804 bakshi chowk fatehpur710272,-1,0.4,Medium
710,Jayan Konda,Other,Aadhaar,1159 6609 5299,"25/14, Vohra, Kishanganj 385201",19-07-1988,jayan konda,2514 vohra kishanganj 385201,1.15966E+11,True,jayan konda 25 14 vohra kishanganj 385201,710,711,11,29,1,1,1,965,383,0,0.17,0,Low,img_0.jpg,jayan konda,1.0,Match,Yes,0.302,Low,other,aadhaar,Unknown,False,jayan konda other Unknown aadhaar 1159 6609 5299 2514 vohra kishanganj 385201,-1,0.4,Medium
711,Yuvaan Borah,Female,Passport,Z9344843,"H.No. 39, Dani, Pimpri-Chinchwad 289040",27-06-1980,yuvaan borah,hno 39 dani pimprichinchwad 289040,Z9344843,True,yuvaan borah h no 39 dani pimpri chinchwad 289040,711,712,12,36,1,1,1,2282,1906,0,0.11,0,Low,img_1.jpg,yuvaan borah,1.0,Match,Yes,0.266,Low,female,passport,Unknown,True,yuvaan borah female Unknown passport Z9344843 hno 39 dani pimprichinchwad 289040,-1,0.0,Low
712,Sana Thaman,Male,Aadhaar,2914 9385 5686,"H.No. 67, Soni Path, Mango-205429",29-05-1993,sana thaman,hno 67 soni path mango205429,2.91494E+11,True,sana thaman h no 67 soni path mango 205429,712,713,11,30,1,1,1,1908,2127,0,0.05,0,Low,img_2.jpg,sana thaman,1.0,Match,Yes,0.23,Low,male,aadhaar,Unknown,False,sana thaman male Unknown aadhaar 2914 9385 5686 hno 67 soni path mango205429,-1,0.4,Medium
713,Rania Sani,Female,Aadhaar,1181 7976 9908,"74/77, Cherian Nagar, Secunderabad 919620",23-07-1977,rania sani,7477 cherian nagar secunderabad 919620,1.1818E+11,True,rania sani 74 77 cherian nagar secunderabad 919620,713,714,10,39,1,1,1,1675,1153,0,0.0,0,Low,img_3.jpg,rania sani,1.0,Match,Yes,0.2,Low,female,aadhaar,Unknown,False,rania sani female Unknown aadhaar 1181 7976 9908 7477 cherian nagar secunderabad 919620,-1,0.4,Medium
714,Ishaan Divan,Male,,Missing,"H.No. 57, Dhingra Chowk, Morena-505881",07-09-1994,ishaan divan,hno 57 dhingra chowk morena505881,NONE,False,ishaan divan h no 57 dhingra chowk morena 505881,714,715,12,35,1,1,1,903,2054,0,0.04,0,Low,img_4.jpg,ishaan divan,1.0,Match,Yes,0.224,Low,male,nan,Unknown,False,ishaan divan male Unknown nan Missing hno 57 dhingra chowk morena505881,-1,0.4,Medium
715,Raunak Hans,Male,PAN,IQBHH9459S,"94/081, Chaudhary Chowk, Durgapur 662803",22-11-1989,raunak hans,94081 chaudhary chowk durgapur 662803,IQBHH9459S,True,raunak hans 94 081 chaudhary chowk durgapur 662803,715,716,11,38,1,1,1,1711,1495,1,0.65,1,Medium,img_5.jpg,raunak hans,1.0,Match,Yes,0.59,Medium,male,pan,Unknown,True,raunak hans male Unknown pan IQBHH9459S 94081 chaudhary chowk durgapur 662803,-1,0.0,Low
716,Umang Dalal,Male,Aadhaar,5178 8639 6128,"H.No. 61, Agarwal Chowk, Burhanpur-961509",03-01-1983,umang dalal,hno 61 agarwal chowk burhanpur961509,5.17886E+11,True,umang dalal h no 61 agarwal chowk burhanpur 961509,716,717,11,38,1,1,1,2128,2080,0,0.09,0,Low,img_6.jpg,umang dalal,1.0,Match,Yes,0.254,Low,male,aadhaar,Unknown,False,umang dalal male Unknown aadhaar 5178 8639 6128 hno 61 agarwal chowk burhanpur961509,-1,0.4,Medium
717,Navya Deep,Other,PAN,AXQFD7498X,"431, Yadav, Bidhannagar 676187",12-08-1989,navya deep,431 yadav bidhannagar 676187,AXQFD7498X,True,navya deep 431 yadav bidhannagar 676187,717,718,10,28,1,1,1,1398,672,1,0.63,1,Medium,img_7.jpg,navya deep,1.0,Match,Yes,0.578,Medium,other,pan,Unknown,True,navya deep other Unknown pan AXQFD7498X 431 yadav bidhannagar 676187,-1,0.0,Low
718,Advik Kumer,Male,PAN,QHGJK2036X,"27/161, Soni Ganj, Unnao-324829",10-12-1987,advik kumer,27161 soni ganj unnao324829,QHGJK2036X,True,advik kumer 27 161 soni ganj unnao 324829,718,719,11,29,1,1,1,111,417,0,0.02,0,Low,img_8.jpg,remuk kivda,0.27,Mismatch,Yes,0.358,Low,male,pan,Unknown,True,advik kumer male Unknown pan QHGJK2036X 27161 soni ganj unnao324829,-1,0.0,Low
719,Yashvi Soman,Female,Aadhaar,5007 4440 7483,"71/261, Bassi, Baranagar 230672",14-01-1993,yashvi soman,71261 bassi baranagar 230672,5.00744E+11,True,yashvi soman 71 261 bassi baranagar 230672,719,720,12,29,1,1,1,2267,1092,0,0.16,0,Low,img_9.jpg,yashvi soman,1.0,Match,Yes,0.296,Low,female,aadhaar,Unknown,False,yashvi soman female Unknown aadhaar 5007 4440 7483 71261 bassi baranagar 230672,-1,0.4,Medium
720,Mehul Kumer,Male,Aadhaar,7472 3267 5101,"H.No. 991, Bhargava, Tiruvottiyur-541079",25-03-1970,mehul kumer,hno 991 bhargava tiruvottiyur541079,7.47233E+11,True,mehul kumer h no 991 bhargava tiruvottiyur 541079,720,721,11,37,1,1,1,1318,2376,1,0.66,1,Medium,img_0.jpg,mehul kumer,1.0,Match,Yes,0.596,Medium,male,aadhaar,Unknown,False,mehul kumer male Unknown aadhaar 7472 3267 5101 hno 991 bhargava tiruvottiyur541079,-1,0.4,Medium
721,Adira Vasa,Male,Aadhaar,4070 8512 3479,"32/448, Date, Surendranagar Dudhrej 138578",26-01-1981,adira vasa,32448 date surendranagar dudhrej 138578,4.07085E+11,True,adira vasa 32 448 date surendranagar dudhrej 138578,721,722,10,40,1,1,1,102,507,0,0.05,0,Low,img_1.jpg,asav arida,0.3,Mismatch,Yes,0.37,Low,male,aadhaar,Unknown,False,adira vasa male Unknown aadhaar 4070 8512 3479 32448 date surendranagar dudhrej 138578,-1,0.4,Medium
722,Tejas Vyas,Male,Aadhaar,6375 8769 3528,"00/76, Bhatia Marg, Amaravati-405272",17-07-1971,tejas vyas,0076 bhatia marg amaravati405272,6.37588E+11,True,tejas vyas 00 76 bhatia marg amaravati 405272,722,723,10,34,1,1,1,2101,5,0,0.09,0,Low,img_2.jpg,sayv sajet,0.1,Mismatch,Yes,0.434,Medium,male,aadhaar,Unknown,False,tejas vyas male Unknown aadhaar 6375 8769 3528 0076 bhatia marg amaravati405272,-1,0.4,Medium
723,Reyansh Tandon,Male,Passport,P9979048,"475, Lal Path, Aizawl-082838",09-01-1989,reyansh tandon,475 lal path aizawl082838,P9979048,True,reyansh tandon 475 lal path aizawl 082838,723,724,14,26,1,1,1,1732,735,0,0.0,0,Low,img_3.jpg,reyansh tandon,1.0,Match,Yes,0.2,Low,male,passport,Unknown,True,reyansh tandon male Unknown passport P9979048 475 lal path aizawl082838,-1,0.0,Low
724,Lavanya Choudhry,Other,PAN,WUXCC3093A,"H.No. 489, Dyal Path, Suryapet 009083",23-10-2004,lavanya choudhry,hno 489 dyal path suryapet 009083,WUXCC3093A,True,lavanya choudhry h no 489 dyal path suryapet 009083,724,725,16,34,1,1,1,1223,1991,0,0.0,0,Low,img_4.jpg,lavanya choudhry,1.0,Match,Yes,0.2,Low,other,pan,Unknown,True,lavanya choudhry other Unknown pan WUXCC3093A hno 489 dyal path suryapet 009083,-1,0.0,Low
725,Rhea Soni,Female,PAN,PFLTS5833A,"619, Setty Chowk, Tirunelveli 466534",24-04-1993,rhea soni,619 setty chowk tirunelveli 466534,PFLTS5833A,True,rhea soni 619 setty chowk tirunelveli 466534,725,726,9,34,1,1,1,1744,945,0,0.09,0,Low,img_5.jpg,rhea soni,1.0,Match,Yes,0.254,Low,female,pan,Unknown,True,rhea soni female Unknown pan PFLTS5833A 619 setty chowk tirunelveli 466534,-1,0.0,Low
726,Ishaan Sani,Male,Passport,U7501035,"H.No. 728, Halder Path, Vijayanagaram-916292",19-11-1982,ishaan sani,hno 728 halder path vijayanagaram916292,U7501035,True,ishaan sani h no 728 halder path vijayanagaram 916292,726,727,11,41,1,1,1,914,2160,0,0.01,0,Low,img_6.jpg,inas naahsi,0.55,Mismatch,Yes,0.296,Low,male,passport,Unknown,True,ishaan sani male Unknown passport U7501035 hno 728 halder path vijayanagaram916292,-1,0.0,Low
727,,Male,PAN,SZNGM2420J,"928, Bobal Road, Purnia-201483",18-02-1999,nan,928 bobal road purnia201483,SZNGM2420J,True,none 928 bobal road purnia 201483,727,728,4,28,118,1,1,1495,1475,0,0.03,0,Low,img_7.jpg,none,1.0,Match,Yes,0.218,Low,male,pan,Unknown,True,nan male Unknown pan SZNGM2420J 928 bobal road purnia201483,-1,0.0,Low
728,Anahi Warrior,Female,Passport,R7352102,"77/287, Sachdev Ganj, Fatehpur-867438",12-06-1995,anahi warrior,77287 sachdev ganj fatehpur867438,R7352102,True,anahi warrior 77 287 sachdev ganj fatehpur 867438,728,729,13,35,1,1,1,207,1214,0,0.02,0,Low,img_8.jpg,anahi warrior,1.0,Match,Yes,0.212,Low,female,passport,Unknown,True,anahi warrior female Unknown passport R7352102 77287 sachdev ganj fatehpur867438,-1,0.0,Low
729,Zara Tella,Other,PAN,XJFHT7936C,"62/28, Bail Ganj, Bhusawal-280685",29-04-2004,zara tella,6228 bail ganj bhusawal280685,XJFHT7936C,True,zara tella 62 28 bail ganj bhusawal 280685,729,730,10,31,1,1,1,2331,948,0,0.01,0,Low,img_9.jpg,allet araz,0.3,Mismatch,Yes,0.346,Low,other,pan,Unknown,True,zara tella other Unknown pan XJFHT7936C 6228 bail ganj bhusawal280685,-1,0.0,Low
730,Aarav Sem,Female,Aadhaar,5386 8993 1425,"68/46, Tella Chowk, Singrauli 252949",10-06-2001,aarav sem,6846 tella chowk singrauli 252949,5.3869E+11,True,aarav sem 68 46 tella chowk singrauli 252949,730,731,9,34,1,1,1,14,1044,0,0.08,0,Low,img_0.jpg,mes varaa,0.33,Mismatch,Yes,0.382,Low,female,aadhaar,Unknown,False,aarav sem female Unknown aadhaar 5386 8993 1425 6846 tella chowk singrauli 252949,-1,0.4,Medium
731,Pihu Anne,Other,Passport,R3753242,"50, Reddy, Kalyan-Dombivli-506912",03-10-2001,pihu anne,50 reddy kalyandombivli506912,R3753242,True,pihu anne 50 reddy kalyan dombivli 506912,731,732,9,31,1,1,1,1553,773,0,0.07,0,Low,img_1.jpg,pihu anne,1.0,Match,Yes,0.242,Low,other,passport,Unknown,True,pihu anne other Unknown passport R3753242 50 reddy kalyandombivli506912,-1,0.0,Low
732,Dishani Hayer,Other,Aadhaar,7916 7256 4921,,25-07-1990,dishani hayer,nan,7.91673E+11,True,dishani hayer none,732,733,13,4,1,122,1,549,2378,0,0.0,0,Low,img_2.jpg,dishani hayer,1.0,Match,Yes,0.2,Low,other,aadhaar,Unknown,False,dishani hayer other Unknown aadhaar 7916 7256 4921 nan,-1,0.4,Medium
733,Fateh Iyengar,Female,Aadhaar,8559 6115 7428,"H.No. 897, Kapadia Nagar, Thiruvananthapuram-004322",14-07-1994,fateh iyengar,hno 897 kapadia nagar thiruvananthapuram004322,8.55961E+11,True,fateh iyengar h no 897 kapadia nagar thiruvananthapuram 004322,733,734,13,48,1,1,1,703,2295,0,0.01,0,Low,img_3.jpg,fateh iyengar,1.0,Match,Yes,0.206,Low,female,aadhaar,Unknown,False,fateh iyengar female Unknown aadhaar 8559 6115 7428 hno 897 kapadia nagar thiruvananthapuram004322,-1,0.4,Medium
734,Divij Sem,Other,Aadhaar,1303 2344 8276,"67, Andra Ganj, Ballia-676493",27-07-2003,divij sem,67 andra ganj ballia676493,1.30323E+11,True,divij sem 67 andra ganj ballia 676493,734,735,9,27,1,1,1,561,1028,0,0.01,0,Low,img_4.jpg,divij sem,1.0,Match,Yes,0.206,Low,other,aadhaar,Unknown,False,divij sem other Unknown aadhaar 1303 2344 8276 67 andra ganj ballia676493,-1,0.4,Medium
735,Riaan Jaggi,Male,Aadhaar,8295 1953 8837,"71/06, Kunda Marg, Miryalaguda 762637",27-06-1976,riaan jaggi,7106 kunda marg miryalaguda 762637,8.2952E+11,True,riaan jaggi 71 06 kunda marg miryalaguda 762637,735,736,11,35,1,1,1,1749,1089,0,0.09,0,Low,img_5.jpg,riaan jaggi,1.0,Match,Yes,0.254,Low,male,aadhaar,Unknown,False,riaan jaggi male Unknown aadhaar 8295 1953 8837 7106 kunda marg miryalaguda 762637,-1,0.4,Medium
736,Biju Tripathi,Male,Aadhaar,2534 7697 7152,"H.No. 44, Thaker Chowk, Dehri 450259",15-10-2002,biju tripathi,hno 44 thaker chowk dehri 450259,2.53477E+11,True,biju tripathi h no 44 thaker chowk dehri 450259,736,737,13,33,1,1,1,431,1953,0,0.0,0,Low,img_6.jpg,biju tripathi,1.0,Match,Yes,0.2,Low,male,aadhaar,Unknown,False,biju tripathi male Unknown aadhaar 2534 7697 7152 hno 44 thaker chowk dehri 450259,-1,0.4,Medium
737,Eshani Apte,,PAN,MXPBA1758C,"H.No. 160, Suri Road, Bhiwani 329164",18-12-1984,eshani apte,hno 160 suri road bhiwani 329164,MXPBA1758C,True,eshani apte h no 160 suri road bhiwani 329164,737,738,11,33,1,1,1,654,1730,0,0.13,0,Low,img_7.jpg,eshani apte,1.0,Match,Yes,0.278,Low,nan,pan,Unknown,True,eshani apte nan Unknown pan MXPBA1758C hno 160 suri road bhiwani 329164,-1,0.0,Low
738,Zoya Vig,Other,Passport,O7118915,"83/62, Sant Path, Raipur-833089",25-11-1979,zoya vig,8362 sant path raipur833089,O7118915,True,zoya vig 83 62 sant path raipur 833089,738,739,8,29,1,1,1,2354,1331,0,0.05,0,Low,img_8.jpg,zoya vig,1.0,Match,Yes,0.23,Low,other,passport,Unknown,True,zoya vig other Unknown passport O7118915 8362 sant path raipur833089,-1,0.0,Low
739,Devansh Mandal,Female,PAN,RTUCM4964D,"53/48, Barad Street, Mysore 456649",19-07-1986,devansh mandal,5348 barad street mysore 456649,RTUCM4964D,True,devansh mandal 53 48 barad street mysore 456649,739,740,14,32,1,1,1,494,816,0,0.02,0,Low,img_9.jpg,devansh mandal,1.0,Match,Yes,0.212,Low,female,pan,Unknown,True,devansh mandal female Unknown pan RTUCM4964D 5348 barad street mysore 456649,-1,0.0,Low
740,,Male,PAN,QIGLB6549P,"H.No. 472, Kapoor Chowk, Mysore-226262",09-03-1980,nan,hno 472 kapoor chowk mysore226262,QIGLB6549P,True,none h no 472 kapoor chowk mysore 226262,740,741,4,35,118,1,1,1495,1977,0,0.02,0,Low,img_0.jpg,none,1.0,Match,Yes,0.212,Low,male,pan,Unknown,True,nan male Unknown pan QIGLB6549P hno 472 kapoor chowk mysore226262,-1,0.0,Low
741,Saira Goswami,Female,Aadhaar,1987 2829 1433,"964, Wable Chowk, Bhilwara-594792",22-10-1999,saira goswami,964 wable chowk bhilwara594792,1.98728E+11,True,saira goswami 964 wable chowk bhilwara 594792,741,742,13,31,1,1,1,1829,1534,0,0.09,0,Low,img_1.jpg,saira goswami,1.0,Match,Yes,0.254,Low,female,aadhaar,Unknown,False,saira goswami female Unknown aadhaar 1987 2829 1433 964 wable chowk bhilwara594792,-1,0.4,Medium
742,Farhan Dasgupta,Male,Passport,N3223938,"H.No. 89, Chakraborty Chowk, Mango 521981",02-05-1998,farhan dasgupta,hno 89 chakraborty chowk mango 521981,N3223938,True,farhan dasgupta h no 89 chakraborty chowk mango 521981,742,743,15,38,1,1,1,692,2290,0,0.02,0,Low,img_2.jpg,farhan dasgupta,1.0,Match,Yes,0.212,Low,male,passport,Unknown,True,farhan dasgupta male Unknown passport N3223938 hno 89 chakraborty chowk mango 521981,-1,0.0,Low
743,Prerak Raja,Other,PAN,DLGCR9051W,"55/21, Kunda Zila, Rajpur Sonarpur-979267",08-04-1971,prerak raja,5521 kunda zila rajpur sonarpur979267,DLGCR9051W,True,prerak raja 55 21 kunda zila rajpur sonarpur 979267,743,744,11,39,1,1,1,1598,842,0,0.02,0,Low,img_3.jpg,prerak raja,1.0,Match,Yes,0.212,Low,other,pan,Unknown,True,prerak raja other Unknown pan DLGCR9051W 5521 kunda zila rajpur sonarpur979267,-1,0.0,Low
744,Divij Uppal,Other,Aadhaar,1964 3957 3024,"37, Lala Nagar, Jhansi-244927",19-01-1975,divij uppal,37 lala nagar jhansi244927,1.9644E+11,True,divij uppal 37 lala nagar jhansi 244927,744,745,11,27,1,1,1,563,578,0,0.06,0,Low,img_4.jpg,divij uppal,1.0,Match,Yes,0.236,Low,other,aadhaar,Unknown,False,divij uppal other Unknown aadhaar 1964 3957 3024 37 lala nagar jhansi244927,-1,0.4,Medium
745,Reyansh Kale,Other,Passport,O7453655,"H.No. 20, Banerjee Zila, Bikaner 739759",23-01-1988,reyansh kale,hno 20 banerjee zila bikaner 739759,O7453655,True,reyansh kale h no 20 banerjee zila bikaner 739759,745,746,12,36,1,1,1,1728,1764,0,0.03,0,Low,img_5.jpg,reyansh kale,1.0,Match,Yes,0.218,Low,other,passport,Unknown,True,reyansh kale other Unknown passport O7453655 hno 20 banerjee zila bikaner 739759,-1,0.0,Low
746,,Other,Passport,M5830719,"H.No. 302, Savant, Kavali-740159",18-02-2004,nan,hno 302 savant kavali740159,M5830719,True,none h no 302 savant kavali 740159,746,747,4,29,118,1,1,1495,1835,0,0.16,0,Low,img_6.jpg,none,1.0,Match,Yes,0.296,Low,other,passport,Unknown,True,nan other Unknown passport M5830719 hno 302 savant kavali740159,-1,0.0,Low
747,Pranay Gokhale,Female,Aadhaar,7455 5206 8784,"H.No. 02, Dave Chowk, Bhubaneswar 709112",12-05-1984,pranay gokhale,hno 02 dave chowk bhubaneswar 709112,7.45552E+11,True,pranay gokhale h no 02 dave chowk bhubaneswar 709112,747,748,14,37,1,1,1,1583,1609,0,0.02,0,Low,img_7.jpg,pranay gokhale,1.0,Match,Yes,0.212,Low,female,aadhaar,Unknown,False,pranay gokhale female Unknown aadhaar 7455 5206 8784 hno 02 dave chowk bhubaneswar 709112,-1,0.4,Medium
748,Abram Aurora,Male,Passport,Y5633629,"58, Mammen Street, Silchar-210349",30-12-1982,abram aurora,58 mammen street silchar210349,Y5633629,True,abram aurora 58 mammen street silchar 210349,748,749,12,31,1,1,1,67,896,1,0.69,1,Medium,img_8.jpg,abram aurora,1.0,Match,Yes,0.614,Medium,male,passport,Unknown,True,abram aurora male Unknown passport Y5633629 58 mammen street silchar210349,-1,0.0,Low
749,Jayant Soni,Other,Passport,D7252904,"H.No. 686, Venkataraman Street, Gurgaon 692545",05-05-1972,jayant soni,hno 686 venkataraman street gurgaon 692545,D7252904,True,jayant soni h no 686 venkataraman street gurgaon 692545,749,750,11,43,1,1,1,983,2136,0,0.02,0,Low,img_9.jpg,jayant soni,1.0,Match,Yes,0.212,Low,other,passport,Unknown,True,jayant soni other Unknown passport D7252904 hno 686 venkataraman street gurgaon 692545,-1,0.0,Low
750,Eva Kannan,Male,Aadhaar,9262 6702 1877,"H.No. 47, Ramakrishnan Marg, Tadipatri-364564",02-03-1982,eva kannan,hno 47 ramakrishnan marg tadipatri364564,9.26267E+11,True,eva kannan h no 47 ramakrishnan marg tadipatri 364564,750,751,10,42,1,1,1,672,1976,0,0.01,0,Low,img_0.jpg,nannak ave,0.4,Mismatch,Yes,0.326,Low,male,aadhaar,Unknown,False,eva kannan male Unknown aadhaar 9262 6702 1877 hno 47 ramakrishnan marg tadipatri364564,-1,0.4,Medium
751,Heer Jhaveri,Male,Aadhaar,2184 6823 2811,"H.No. 002, Lall Street, Jehanabad-467609",03-11-1999,heer jhaveri,hno 002 lall street jehanabad467609,2.18468E+11,True,heer jhaveri h no 002 lall street jehanabad 467609,751,752,12,37,1,1,1,763,1599,1,0.67,1,Medium,img_1.jpg,heer jhaveri,1.0,Match,Yes,0.602,Medium,male,aadhaar,Unknown,False,heer jhaveri male Unknown aadhaar 2184 6823 2811 hno 002 lall street jehanabad467609,-1,0.4,Medium
752,Hiran Kala,Female,PAN,PJBTK4794U,"75/558, Bail, Bahraich-608508",23-12-1999,hiran kala,75558 bail bahraich608508,PJBTK4794U,True,hiran kala 75 558 bail bahraich 608508,752,753,10,27,2,1,1,788,1174,0,0.01,0,Low,img_2.jpg,hiran kala,1.0,Match,Yes,0.206,Low,female,pan,Unknown,True,hiran kala female Unknown pan PJBTK4794U 75558 bail bahraich608508,-1,0.0,Low
753,Ira Lala,Female,PAN,GVWTL3601Y,"H.No. 23, Amble Ganj, Aurangabad-662579",01-03-1986,ira lala,hno 23 amble ganj aurangabad662579,GVWTL3601Y,True,ira lala h no 23 amble ganj aurangabad 662579,753,754,8,36,1,1,1,893,1783,0,0.05,0,Low,img_3.jpg,ira lala,1.0,Match,Yes,0.23,Low,female,pan,Unknown,True,ira lala female Unknown pan GVWTL3601Y hno 23 amble ganj aurangabad662579,-1,0.0,Low
754,Shray Badal,Female,PAN,DYKPB9357I,"55/40, Chhabra Road, Gandhidham 834048",09-11-2004,shray badal,5540 chhabra road gandhidham 834048,DYKPB9357I,True,shray badal 55 40 chhabra road gandhidham 834048,754,755,11,36,1,1,1,2001,843,0,0.05,0,Low,img_4.jpg,ladab yarhs,0.27,Mismatch,Yes,0.376,Low,female,pan,Unknown,True,shray badal female Unknown pan DYKPB9357I 5540 chhabra road gandhidham 834048,-1,0.0,Low
755,Jayesh Gokhale,Female,PAN,XAIHG5648P,"91/111, Shah Nagar, Nizamabad 940950",11-08-1991,jayesh gokhale,91111 shah nagar nizamabad 940950,XAIHG5648P,True,jayesh gokhale 91 111 shah nagar nizamabad 940950,755,756,14,34,1,1,1,991,1447,0,0.06,0,Low,img_5.jpg,jayesh gokhale,1.0,Match,Yes,0.236,Low,female,pan,Unknown,True,jayesh gokhale female Unknown pan XAIHG5648P 91111 shah nagar nizamabad 940950,-1,0.0,Low
756,Baiju Mahal,Female,Aadhaar,6553 9735 2386,"H.No. 78, Borah Circle, Kalyan-Dombivli-123729",24-06-1991,baiju mahal,hno 78 borah circle kalyandombivli123729,6.55397E+11,True,baiju mahal h no 78 borah circle kalyan dombivli 123729,756,757,11,43,1,1,1,392,2202,0,0.0,0,Low,img_6.jpg,baiju mahal,1.0,Match,Yes,0.2,Low,female,aadhaar,Unknown,False,baiju mahal female Unknown aadhaar 6553 9735 2386 hno 78 borah circle kalyandombivli123729,-1,0.4,Medium
757,Uthkarsh Dewan,Female,,Missing,"07/352, Bhandari Ganj, Bhind 776456",10-12-1988,uthkarsh dewan,07352 bhandari ganj bhind 776456,NONE,False,uthkarsh dewan 07 352 bhandari ganj bhind 776456,757,758,14,33,1,1,1,2150,103,0,0.05,0,Low,img_7.jpg,uthkarsh dewan,1.0,Match,Yes,0.23,Low,female,nan,Unknown,False,uthkarsh dewan female Unknown nan Missing 07352 bhandari ganj bhind 776456,-1,0.4,Medium
758,Renee Khurana,Male,,Missing,"53/057, Dutta Marg, Kakinada 501480",15-01-1992,renee khurana,53057 dutta marg kakinada 501480,NONE,False,renee khurana 53 057 dutta marg kakinada 501480,758,759,13,33,1,1,1,1720,811,0,0.01,0,Low,img_8.jpg,renee khurana,1.0,Match,Yes,0.206,Low,male,nan,Unknown,False,renee khurana male Unknown nan Missing 53057 dutta marg kakinada 501480,-1,0.4,Medium
759,Divij Kapur,Female,PAN,ZCEGK3793G,"17/40, Wali Street, Orai-954096",26-07-1979,divij kapur,1740 wali street orai954096,ZCEGK3793G,True,divij kapur 17 40 wali street orai 954096,759,760,11,29,1,1,1,559,237,0,0.11,0,Low,img_9.jpg,divij kapur,1.0,Match,Yes,0.266,Low,female,pan,Unknown,True,divij kapur female Unknown pan ZCEGK3793G 1740 wali street orai954096,-1,0.0,Low
760,Alisha Cherian,Other,PAN,YUBLC0831G,"H.No. 018, Ratta Zila, Phusro 907701",14-11-2001,alisha cherian,hno 018 ratta zila phusro 907701,YUBLC0831G,True,alisha cherian h no 018 ratta zila phusro 907701,760,761,14,33,1,1,1,166,1606,0,0.0,0,Low,img_0.jpg,nairehc ahsila,0.21,Mismatch,Yes,0.358,Low,other,pan,Unknown,True,alisha cherian other Unknown pan YUBLC0831G hno 018 ratta zila phusro 907701,-1,0.0,Low
761,,,PAN,VQVAD7751Z,,23-01-1996,nan,nan,VQVAD7751Z,True,none none,761,762,4,4,118,122,1,1495,2378,0,0.098888801,0,Low,img_1.jpg,none,1.0,Match,Yes,0.259333281,Low,nan,pan,Unknown,True,nan nan Unknown pan VQVAD7751Z nan,-1,0.0,Low
762,Vardaniya Soni,Male,Aadhaar,1775 6476 8210,"286, Barad Circle, Kirari Suleman Nagar-074511",05-02-1970,vardaniya soni,286 barad circle kirari suleman nagar074511,1.77565E+11,True,vardaniya soni 286 barad circle kirari suleman nagar 074511,762,763,14,44,1,1,1,2188,449,0,0.05,0,Low,img_2.jpg,vardaniya soni,1.0,Match,Yes,0.23,Low,male,aadhaar,Unknown,False,vardaniya soni male Unknown aadhaar 1775 6476 8210 286 barad circle kirari suleman nagar074511,-1,0.4,Medium
763,Rohan Dhar,Female,Passport,K9191224,"H.No. 053, Bhagat Nagar, Uluberia-094202",07-02-1973,rohan dhar,hno 053 bhagat nagar uluberia094202,K9191224,True,rohan dhar h no 053 bhagat nagar uluberia 094202,763,764,10,37,1,1,1,1786,1641,0,0.02,0,Low,img_3.jpg,rohan dhar,1.0,Match,Yes,0.212,Low,female,passport,Unknown,True,rohan dhar female Unknown passport K9191224 hno 053 bhagat nagar uluberia094202,-1,0.0,Low
764,Elakshi Sane,Female,Aadhaar,8139 1562 9983,"H.No. 54, Bahri, Bhusawal 829164",06-07-1983,elakshi sane,hno 54 bahri bhusawal 829164,8.13916E+11,True,elakshi sane h no 54 bahri bhusawal 829164,764,765,12,29,1,1,1,634,2031,0,0.03,0,Low,img_4.jpg,enas ihskale,0.25,Mismatch,Yes,0.368,Low,female,aadhaar,Unknown,False,elakshi sane female Unknown aadhaar 8139 1562 9983 hno 54 bahri bhusawal 829164,-1,0.4,Medium
